import time: self [us] | cumulative | imported package
import time:       650 |        650 |           yaml.emitter
import time:       522 |        522 |           yaml.serializer
import time:       846 |        846 |           yaml.representer
import time:      1441 |       3458 |         yaml.dumper
import time:       701 |        701 |           yaml._yaml
import time:       716 |       1417 |         yaml.cyaml
import time:      2583 |      23968 |       yaml
import time:       542 |        542 |             org
import time:        25 |        567 |           org.python
import time:        18 |        584 |         org.python.core
import time:       672 |       1256 |       copy
import time:      1324 |       1324 |         pkgutil
import time:      2122 |       2122 |         platform
import time:      1613 |       1613 |         sysconfig
import time:      4628 |       9686 |       pydoc
import time:       722 |        722 |         ruamel
import time:       742 |        742 |             ruamel.yaml.error
import time:       508 |        508 |               ruamel.yaml.util
import time:      1095 |       1602 |             ruamel.yaml.reader
import time:       503 |        503 |                   ruamel.yaml.docinfo
import time:       840 |       1342 |                 ruamel.yaml.compat
import time:       976 |       2318 |               ruamel.yaml.tokens
import time:      1352 |       3670 |             ruamel.yaml.scanner
import time:       482 |        482 |                 ruamel.yaml.tag
import time:       880 |       1361 |               ruamel.yaml.events
import time:       460 |        460 |                   ruamel.yaml.anchor
import time:       796 |       1255 |                 ruamel.yaml.scalarstring
import time:      1502 |       2757 |               ruamel.yaml.comments
import time:      1876 |       5993 |             ruamel.yaml.parser
import time:       639 |        639 |               ruamel.yaml.nodes
import time:       832 |       1471 |             ruamel.yaml.composer
import time:       567 |        567 |               ruamel.yaml.scalarint
import time:       531 |        531 |               ruamel.yaml.scalarfloat
import time:       485 |        485 |               ruamel.yaml.scalarbool
import time:       481 |        481 |               ruamel.yaml.timestamp
import time:      1847 |       3910 |             ruamel.yaml.constructor
import time:       810 |        810 |             ruamel.yaml.emitter
import time:       584 |        584 |             ruamel.yaml.serializer
import time:       793 |        793 |             ruamel.yaml.representer
import time:      1183 |      20754 |           _ruamel_yaml
import time:       713 |        713 |           ruamel.yaml.resolver
import time:      1905 |      23371 |         ruamel.yaml.cyaml
import time:      1216 |       1216 |           glob
import time:      1925 |       1925 |           ruamel.yaml.loader
import time:      1281 |       1281 |           ruamel.yaml.dumper
import time:      1638 |       6059 |         ruamel.yaml.main
import time:      1458 |      31609 |       ruamel.yaml
import time:      1944 |      68461 |     hyperpyyaml.core
import time:      1139 |      69600 |   hyperpyyaml
import time:       647 |        647 |       modelscope.utils
import time:      2496 |       2496 |           _hashlib
import time:        54 |         54 |           _blake2
import time:       881 |       3431 |         hashlib
import time:        73 |         73 |               _json
import time:       680 |        752 |             json.scanner
import time:      1091 |       1842 |           json.decoder
import time:       760 |        760 |           json.encoder
import time:      1284 |       3885 |         json
import time:       454 |        454 |         modelscope.version
import time:      1230 |       1230 |           modelscope.utils.constant
import time:      1287 |       2516 |         modelscope.metainfo
import time:      1020 |       1020 |         modelscope.utils.file_utils
import time:       481 |        481 |           modelscope.utils.logger
import time:       755 |        755 |               _compat_pickle
import time:       119 |        119 |               _pickle
import time:       541 |        541 |                   org
import time:        21 |        561 |                 org.python
import time:        17 |        578 |               org.python.core
import time:      1464 |       2914 |             pickle
import time:      1567 |       1567 |               _socket
import time:       644 |        644 |                 select
import time:      1013 |       1657 |               selectors
import time:      1764 |       4986 |             socket
import time:        59 |         59 |                 _locale
import time:      1475 |       1533 |               locale
import time:       831 |        831 |               signal
import time:       528 |        528 |               fcntl
import time:      1745 |       4636 |             subprocess
import time:       559 |        559 |                   numpy._utils._convertions
import time:       719 |       1278 |                 numpy._utils
import time:       984 |       2262 |               numpy._globals
import time:       471 |        471 |               numpy._expired_attrs_2_0
import time:       489 |        489 |               numpy.version
import time:        94 |         94 |                 numpy._distributor_init_local
import time:       547 |        641 |               numpy._distributor_init
import time:       572 |        572 |                         numpy._utils._inspect
import time:       636 |        636 |                           numpy.exceptions
import time:       615 |        615 |                           numpy._core._exceptions
import time:       450 |        450 |                           numpy.dtypes
import time:      4439 |       6139 |                         numpy._core._multiarray_umath
import time:       854 |       7564 |                       numpy._core.overrides
import time:      1247 |       8811 |                     numpy._core.multiarray
import time:       558 |        558 |                     numpy._core.umath
import time:       468 |        468 |                       numpy._core._string_helpers
import time:       604 |        604 |                       numpy._core._type_aliases
import time:       498 |        498 |                       numpy._core._dtype
import time:      1863 |       3433 |                     numpy._core.numerictypes
import time:        89 |         89 |                                 _contextvars
import time:       628 |        716 |                               contextvars
import time:       974 |       1689 |                             numpy._core._ufunc_config
import time:       849 |       2538 |                           numpy._core._methods
import time:      1134 |       3672 |                         numpy._core.fromnumeric
import time:       616 |       4287 |                       numpy._core.shape_base
import time:      1504 |       1504 |                       numpy._core.arrayprint
import time:       531 |        531 |                       numpy._core._asarray
import time:      3376 |       9697 |                     numpy._core.numeric
import time:       630 |        630 |                     numpy._core.records
import time:       510 |        510 |                     numpy._core.memmap
import time:       669 |        669 |                     numpy._core.function_base
import time:       497 |        497 |                     numpy._core._machar
import time:       853 |        853 |                     numpy._core.getlimits
import time:       629 |        629 |                     numpy._core.einsumfunc
import time:       383 |        383 |                       numpy._core._multiarray_tests
import time:      1869 |       2251 |                     numpy._core._add_newdocs
import time:       833 |        833 |                     numpy._core._add_newdocs_scalars
import time:       468 |        468 |                     numpy._core._dtype_ctypes
import time:      1018 |       1018 |                     numpy._core._internal
import time:       485 |        485 |                     numpy._pytesttester
import time:      3677 |      35012 |                   numpy._core
import time:        28 |      35039 |                 numpy._core._multiarray_umath
import time:       644 |      35683 |               numpy.__config__
import time:       457 |        457 |                   numpy.lib._array_utils_impl
import time:       854 |       1310 |                 numpy.lib.array_utils
import time:       436 |        436 |                 numpy.lib.introspect
import time:       521 |        521 |                 numpy.lib.mixins
import time:       660 |        660 |                       numpy.lib._utils_impl
import time:       921 |       1580 |                     numpy.lib.format
import time:       577 |        577 |                     numpy.lib._datasource
import time:       656 |        656 |                     numpy.lib._iotools
import time:      1616 |       4428 |                   numpy.lib._npyio_impl
import time:      1148 |       5576 |                 numpy.lib.npyio
import time:       523 |        523 |                       numpy.lib._ufunclike_impl
import time:       964 |       1486 |                     numpy.lib._type_check_impl
import time:      1039 |       2525 |                   numpy.lib._scimath_impl
import time:       868 |       3392 |                 numpy.lib.scimath
import time:       591 |        591 |                   numpy.lib._stride_tricks_impl
import time:       802 |       1393 |                 numpy.lib.stride_tricks
import time:       561 |        561 |                         numpy.linalg.linalg
import time:       718 |        718 |                           numpy.lib._twodim_base_impl
import time:       520 |        520 |                           numpy.linalg._umath_linalg
import time:       700 |        700 |                             numpy._typing._nested_sequence
import time:       446 |        446 |                             numpy._typing._nbit
import time:      1130 |       1130 |                             numpy._typing._char_codes
import time:       655 |        655 |                             numpy._typing._scalars
import time:       498 |        498 |                             numpy._typing._shape
import time:      1907 |       1907 |                             numpy._typing._dtype_like
import time:      3205 |       3205 |                             numpy._typing._array_like
import time:      2443 |      10980 |                           numpy._typing
import time:      2472 |      14690 |                         numpy.linalg._linalg
import time:      1520 |      16770 |                       numpy.linalg
import time:       752 |      17521 |                     numpy.matrixlib.defmatrix
import time:      1109 |      18630 |                   numpy.matrixlib
import time:       596 |        596 |                     numpy.lib._histograms_impl
import time:      2085 |       2681 |                   numpy.lib._function_base_impl
import time:      2188 |      23498 |                 numpy.lib._index_tricks_impl
import time:       753 |        753 |                 numpy.lib._nanfunctions_impl
import time:      1084 |       1084 |                 numpy.lib._shape_base_impl
import time:      1023 |       1023 |                 numpy.lib._arraysetops_impl
import time:       853 |        853 |                 numpy.lib._polynomial_impl
import time:       507 |        507 |                 numpy.lib._arrayterator_impl
import time:       575 |        575 |                 numpy.lib._arraypad_impl
import time:       512 |        512 |                 numpy.lib._version
import time:      1603 |      43031 |               numpy.lib
import time:      5530 |      88103 |             numpy
import time:      2184 |       2184 |               typing_extensions
import time:      1751 |       1751 |               torch._utils
import time:       506 |        506 |                   torch._strobelight
import time:        51 |         51 |                       gc
import time:       656 |        706 |                     timeit
import time:      1042 |       1748 |                   torch._strobelight.cli_function_profiler
import time:      1027 |       3280 |                 torch._strobelight.compile_time_profiler
import time:       982 |       4261 |               torch._utils_internal
import time:       517 |        517 |                     torch._vendor
import time:       951 |       1468 |                   torch._vendor.packaging
import time:       490 |        490 |                   torch._vendor.packaging._structures
import time:      2761 |       4718 |                 torch._vendor.packaging.version
import time:       481 |        481 |                 torch.version
import time:      1027 |       6224 |               torch.torch_version
import time:     24122 |      24122 |               torch._C
import time:       526 |        526 |                 torch._namedtensor_internals
import time:      1672 |       1672 |                 torch.overrides
import time:      2045 |       4242 |               torch._tensor
import time:       822 |        822 |                 torch.types
import time:      1556 |       2377 |               torch.storage
import time:       719 |        719 |                 torch.amp.autocast_mode
import time:       723 |        723 |                 torch.amp.grad_scaler
import time:      1249 |       2691 |               torch.amp
import time:       509 |        509 |               torch.random
import time:        52 |         52 |                     _heapq
import time:       665 |        717 |                   heapq
import time:      1373 |       2089 |                 difflib
import time:       559 |        559 |                   pwd
import time:       511 |        511 |                   grp
import time:      1429 |       2499 |                 tarfile
import time:       760 |        760 |                 torch._weights_only_unpickler
import time:       752 |        752 |                 torch._sources
import time:      2740 |       8838 |               torch.serialization
import time:      1237 |       1237 |                 dataclasses
import time:      1821 |       3057 |               torch._tensor_str
import time:       661 |        661 |                 torch.cuda.gds
import time:       474 |        474 |                 torch.cuda._utils
import time:       819 |        819 |                 torch.cuda.graphs
import time:       563 |        563 |                 torch.cuda.streams
import time:       545 |        545 |                 pynvml
import time:       728 |        728 |                   torch.cuda._memory_viz
import time:      1207 |       1935 |                 torch.cuda.memory
import time:       567 |        567 |                 torch.cuda.random
import time:       903 |        903 |                   torch.cuda.amp.autocast_mode
import time:       803 |        803 |                   torch.cuda.amp.common
import time:       509 |        509 |                   torch.cuda.amp.grad_scaler
import time:      1237 |       3451 |                 torch.cuda.amp
import time:       519 |        519 |                 torch.cuda.jiterator
import time:       492 |        492 |                 torch.cuda.nvtx
import time:       482 |        482 |                 torch.cuda.profiler
import time:       431 |        431 |                 torch.cuda.sparse
import time:       637 |        637 |                     concurrent
import time:       888 |        888 |                     concurrent.futures._base
import time:       978 |       2502 |                   concurrent.futures
import time:       835 |        835 |                       multiprocessing.process
import time:       623 |        623 |                       multiprocessing.reduction
import time:      1111 |       2568 |                     multiprocessing.context
import time:       719 |       3287 |                   multiprocessing
import time:       801 |       6589 |                 torch.cuda.tunable
import time:      6133 |      23655 |               torch.cuda
import time:       548 |        548 |                   torch.sparse._semi_structured_conversions
import time:       581 |        581 |                   torch.sparse._semi_structured_ops
import time:      1479 |       2607 |                 torch.sparse.semi_structured
import time:      1006 |       3613 |               torch.sparse
import time:       518 |        518 |               torch._compile
import time:       524 |        524 |               torch._VF
import time:       760 |        760 |                     torch.nn.parameter
import time:      1620 |       1620 |                         torch._prims_common
import time:       823 |        823 |                             torch.utils.backcompat
import time:       840 |        840 |                             torch.utils.collect_env
import time:       829 |        829 |                                   _queue
import time:       797 |       1625 |                                 queue
import time:       937 |        937 |                                     cmd
import time:       792 |        792 |                                     bdb
import time:       622 |        622 |                                       codeop
import time:       890 |       1511 |                                     code
import time:       793 |        793 |                                     pprint
import time:      2888 |       6920 |                                   pdb
import time:       513 |        513 |                                     torch.utils._typing_utils
import time:       626 |        626 |                                       torch.monitor
import time:       486 |        486 |                                         torch.distributed.logging_handlers
import time:       811 |       1297 |                                       torch.distributed.c10d_logger
import time:       479 |        479 |                                       torch.distributed.constants
import time:      1008 |       1008 |                                       torch.distributed.rendezvous
import time:      2972 |       6380 |                                     torch.distributed.distributed_c10d
import time:      2851 |       9743 |                                   torch.distributed.device_mesh
import time:       610 |        610 |                                   torch.distributed.remote_device
