import time: self [us] | cumulative | imported package
import time:      1521 |       1521 |             _bz2
import time:       949 |       3190 |           bz2
import time:      1218 |       1218 |             _lzma
import time:       789 |       2007 |           lzma
import time:      1231 |       6498 |         shutil
import time:        81 |         81 |           _struct
import time:       665 |        745 |         struct
import time:      1306 |      12957 |       zipfile
import time:       754 |        754 |       base64
import time:      1405 |       1405 |       textwrap
import time:       623 |        623 |         collections.abc
import time:       630 |        630 |             token
import time:      1233 |       1863 |           tokenize
import time:       617 |       2479 |         linecache
import time:      1000 |       4101 |       traceback
import time:        63 |         63 |           math
import time:        47 |         47 |             _bisect
import time:       610 |        656 |           bisect
import time:        38 |         38 |           _random
import time:        38 |         38 |           _sha512
import time:       929 |       1722 |         random
import time:       934 |        934 |         weakref
import time:       913 |       3568 |       tempfile
import time:        42 |         42 |         _typing
import time:      2778 |       2820 |       typing
import time:       695 |        695 |         __future__
import time:        67 |         67 |         importlib.machinery
import time:       607 |        607 |         encodings.cp437
import time:       133 |        133 |         shibokensupport
import time:       116 |        116 |         shibokensupport.signature
import time:        71 |         71 |                 _ast
import time:      1351 |       1421 |               ast
import time:        47 |         47 |                   _opcode
import time:       799 |        846 |                 opcode
import time:      1188 |       2033 |               dis
import time:      1965 |       5418 |             inspect
import time:       907 |       6325 |           shibokensupport.feature
import time:      3542 |       3542 |           shibokensupport.signature.mapping
import time:      1071 |       1071 |           shibokensupport.signature.errorhandler
import time:       113 |        113 |                 shibokensupport.signature.lib
import time:       677 |        790 |               shibokensupport.signature.lib.tool
import time:      3594 |       4383 |             shibokensupport.signature.parser
import time:      2090 |       6473 |           shibokensupport.signature.layout
import time:      1115 |       1115 |             PySide6.support
import time:       602 |        602 |             PySide6.support.deprecated
import time:       305 |       2021 |           shibokensupport.signature.importhandler
import time:      2290 |       2290 |           shibokensupport.signature.lib.enum_sig
import time:      1317 |       1317 |               gettext
import time:      1262 |       2579 |             argparse
import time:        44 |         44 |                 _string
import time:      1074 |       1118 |               string
import time:        46 |         46 |               atexit
import time:      1971 |       3134 |             logging
import time:     13084 |      18796 |           shibokensupport.signature.lib.pyi_generator
import time:       903 |      41417 |         shibokensupport.signature.loader
import time:      5651 |      48684 |       shiboken6.Shiboken
import time:       958 |      75244 |     shiboken6
import time:      1588 |      95622 |   PySide6
import time:     10352 |      10352 |     PySide6.QtCore
import time:      3757 |      14109 |   PySide6.QtGui
import time:     22529 |     132260 | PySide6.QtWidgets
import time:       621 |        621 |     cosyvoice
import time:       723 |       1344 |   cosyvoice.cli
import time:      1599 |       1599 |     tqdm._monitor
import time:       515 |        515 |     tqdm._tqdm_pandas
import time:       103 |        103 |           _datetime
import time:      1646 |       1749 |         datetime
import time:      1081 |       1081 |         numbers
import time:       801 |        801 |           unicodedata
import time:       680 |        680 |                 colorama.ansi
import time:        52 |         52 |                   msvcrt
import time:      1287 |       1287 |                       _ctypes
import time:      1033 |       1033 |                       ctypes._endian
import time:      2297 |       4616 |                     ctypes
import time:       928 |        928 |                     ctypes.wintypes
import time:       681 |       6224 |                   colorama.win32
import time:       863 |       7138 |                 colorama.winterm
import time:      1739 |       9557 |               colorama.ansitowin32
import time:       946 |      10502 |             colorama.initialise
import time:      1172 |      11674 |           colorama
import time:      2152 |      14627 |         tqdm.utils
import time:      3872 |      21327 |       tqdm.std
import time:       460 |        460 |         tqdm._dist_ver
import time:       773 |       1232 |       tqdm.version
import time:      3134 |      25693 |     tqdm.cli
import time:       561 |        561 |     tqdm.gui
import time:      2078 |      30444 |   tqdm
import time:       686 |        686 |         yaml.error
import time:       662 |        662 |         yaml.tokens
import time:       610 |        610 |         yaml.events
import time:       535 |        535 |         yaml.nodes
import time:      6459 |       6459 |           yaml.reader
import time:       798 |        798 |           yaml.scanner
import time:       607 |        607 |           yaml.parser
import time:       550 |        550 |           yaml.composer
import time:      1770 |       1770 |           yaml.constructor
import time:      2038 |       2038 |           yaml.resolver
import time:      2580 |      14797 |         yaml.loader
import time:       670 |        670 |           yaml.emitter
import time:       551 |        551 |           yaml.serializer
import time:       908 |        908 |           yaml.representer
import time:      1540 |       3668 |         yaml.dumper
import time:       703 |        703 |           yaml._yaml
import time:       770 |       1473 |         yaml.cyaml
import time:      2785 |      25212 |       yaml
import time:       536 |        536 |             org
import time:        23 |        558 |           org.python
import time:        18 |        576 |         org.python.core
import time:       709 |       1284 |       copy
import time:      1333 |       1333 |         pkgutil
import time:      2260 |       2260 |         platform
import time:      1661 |       1661 |         sysconfig
import time:      4647 |       9900 |       pydoc
import time:       717 |        717 |         ruamel
import time:       723 |        723 |             ruamel.yaml.error
import time:       536 |        536 |               ruamel.yaml.util
import time:      1177 |       1713 |             ruamel.yaml.reader
import time:       522 |        522 |                   ruamel.yaml.docinfo
import time:       869 |       1391 |                 ruamel.yaml.compat
import time:       990 |       2381 |               ruamel.yaml.tokens
import time:      1337 |       3717 |             ruamel.yaml.scanner
import time:       541 |        541 |                 ruamel.yaml.tag
import time:       980 |       1521 |               ruamel.yaml.events
import time:       510 |        510 |                   ruamel.yaml.anchor
import time:       847 |       1356 |                 ruamel.yaml.scalarstring
import time:      1627 |       2982 |               ruamel.yaml.comments
import time:      2136 |       6638 |             ruamel.yaml.parser
import time:       650 |        650 |               ruamel.yaml.nodes
import time:       860 |       1510 |             ruamel.yaml.composer
import time:       595 |        595 |               ruamel.yaml.scalarint
import time:       575 |        575 |               ruamel.yaml.scalarfloat
import time:       544 |        544 |               ruamel.yaml.scalarbool
import time:       522 |        522 |               ruamel.yaml.timestamp
import time:      1950 |       4185 |             ruamel.yaml.constructor
import time:       871 |        871 |             ruamel.yaml.emitter
import time:       603 |        603 |             ruamel.yaml.serializer
import time:       794 |        794 |             ruamel.yaml.representer
import time:      1137 |      21885 |           _ruamel_yaml
import time:       788 |        788 |           ruamel.yaml.resolver
import time:      2057 |      24729 |         ruamel.yaml.cyaml
import time:      1311 |       1311 |           glob
import time:      2112 |       2112 |           ruamel.yaml.loader
import time:      1369 |       1369 |           ruamel.yaml.dumper
import time:      1743 |       6534 |         ruamel.yaml.main
import time:      1580 |      33559 |       ruamel.yaml
import time:      2073 |      72025 |     hyperpyyaml.core
import time:      1489 |      73514 |   hyperpyyaml
import time:       703 |        703 |       modelscope.utils
import time:      3525 |       3525 |           _hashlib
import time:        66 |         66 |           _blake2
import time:       924 |       4514 |         hashlib
import time:        64 |         64 |               _json
import time:       710 |        773 |             json.scanner
import time:      1296 |       2069 |           json.decoder
import time:       802 |        802 |           json.encoder
import time:      1395 |       4265 |         json
import time:       488 |        488 |         modelscope.version
import time:      1273 |       1273 |           modelscope.utils.constant
import time:      1367 |       2640 |         modelscope.metainfo
import time:      1121 |       1121 |         modelscope.utils.file_utils
import time:       510 |        510 |           modelscope.utils.logger
import time:       787 |        787 |               _compat_pickle
import time:       150 |        150 |               _pickle
import time:       616 |        616 |                   org
import time:        26 |        642 |                 org.python
import time:        23 |        664 |               org.python.core
import time:      1574 |       3174 |             pickle
import time:      1700 |       1700 |               _socket
import time:       663 |        663 |                 select
import time:      1191 |       1853 |               selectors
import time:      1853 |       5405 |             socket
import time:        61 |         61 |                 _locale
import time:      1594 |       1655 |               locale
import time:       874 |        874 |               signal
import time:       541 |        541 |               fcntl
import time:      1849 |       4916 |             subprocess
import time:       639 |        639 |                   numpy._utils._convertions
import time:       996 |       1635 |                 numpy._utils
import time:      1136 |       2771 |               numpy._globals
import time:       528 |        528 |               numpy._expired_attrs_2_0
import time:       558 |        558 |               numpy.version
import time:       108 |        108 |                 numpy._distributor_init_local
import time:       557 |        664 |               numpy._distributor_init
import time:       616 |        616 |                         numpy._utils._inspect
import time:       646 |        646 |                           numpy.exceptions
import time:       673 |        673 |                           numpy._core._exceptions
import time:       494 |        494 |                           numpy.dtypes
import time:      4919 |       6732 |                         numpy._core._multiarray_umath
import time:       925 |       8272 |                       numpy._core.overrides
import time:      1362 |       9633 |                     numpy._core.multiarray
import time:       622 |        622 |                     numpy._core.umath
import time:       529 |        529 |                       numpy._core._string_helpers
import time:       651 |        651 |                       numpy._core._type_aliases
import time:       544 |        544 |                       numpy._core._dtype
import time:      2104 |       3826 |                     numpy._core.numerictypes
import time:       103 |        103 |                                 _contextvars
import time:       685 |        787 |                               contextvars
import time:      1058 |       1844 |                             numpy._core._ufunc_config
import time:       921 |       2765 |                           numpy._core._methods
import time:      1197 |       3961 |                         numpy._core.fromnumeric
import time:       674 |       4635 |                       numpy._core.shape_base
import time:      1555 |       1555 |                       numpy._core.arrayprint
import time:       552 |        552 |                       numpy._core._asarray
import time:      3464 |      10204 |                     numpy._core.numeric
import time:       686 |        686 |                     numpy._core.records
import time:       730 |        730 |                     numpy._core.memmap
import time:       722 |        722 |                     numpy._core.function_base
import time:       527 |        527 |                     numpy._core._machar
import time:       946 |        946 |                     numpy._core.getlimits
import time:       764 |        764 |                     numpy._core.einsumfunc
import time:       437 |        437 |                       numpy._core._multiarray_tests
import time:      1875 |       2312 |                     numpy._core._add_newdocs
import time:      1079 |       1079 |                     numpy._core._add_newdocs_scalars
import time:       540 |        540 |                     numpy._core._dtype_ctypes
import time:      1097 |       1097 |                     numpy._core._internal
import time:       541 |        541 |                     numpy._pytesttester
import time:      4130 |      38352 |                   numpy._core
import time:        29 |      38380 |                 numpy._core._multiarray_umath
import time:       702 |      39082 |               numpy.__config__
import time:       528 |        528 |                   numpy.lib._array_utils_impl
import time:       950 |       1478 |                 numpy.lib.array_utils
import time:       489 |        489 |                 numpy.lib.introspect
import time:       560 |        560 |                 numpy.lib.mixins
import time:       682 |        682 |                       numpy.lib._utils_impl
import time:       930 |       1611 |                     numpy.lib.format
import time:       604 |        604 |                     numpy.lib._datasource
import time:       726 |        726 |                     numpy.lib._iotools
import time:      1829 |       4769 |                   numpy.lib._npyio_impl
import time:      1235 |       6004 |                 numpy.lib.npyio
import time:       520 |        520 |                       numpy.lib._ufunclike_impl
import time:       924 |       1443 |                     numpy.lib._type_check_impl
import time:      1089 |       2532 |                   numpy.lib._scimath_impl
import time:       861 |       3392 |                 numpy.lib.scimath
import time:       599 |        599 |                   numpy.lib._stride_tricks_impl
import time:       827 |       1426 |                 numpy.lib.stride_tricks
import time:       588 |        588 |                         numpy.linalg.linalg
import time:       740 |        740 |                           numpy.lib._twodim_base_impl
import time:       667 |        667 |                           numpy.linalg._umath_linalg
import time:       782 |        782 |                             numpy._typing._nested_sequence
import time:       513 |        513 |                             numpy._typing._nbit
import time:      1180 |       1180 |                             numpy._typing._char_codes
import time:       730 |        730 |                             numpy._typing._scalars
import time:       525 |        525 |                             numpy._typing._shape
import time:      1651 |       1651 |                             numpy._typing._dtype_like
import time:      3197 |       3197 |                             numpy._typing._array_like
import time:      2641 |      11216 |                           numpy._typing
import time:      2637 |      15259 |                         numpy.linalg._linalg
import time:      1635 |      17481 |                       numpy.linalg
import time:       757 |      18237 |                     numpy.matrixlib.defmatrix
import time:      1170 |      19407 |                   numpy.matrixlib
import time:       670 |        670 |                     numpy.lib._histograms_impl
import time:      2345 |       3015 |                   numpy.lib._function_base_impl
import time:      2301 |      24721 |                 numpy.lib._index_tricks_impl
import time:       806 |        806 |                 numpy.lib._nanfunctions_impl
import time:      1173 |       1173 |                 numpy.lib._shape_base_impl
import time:      1059 |       1059 |                 numpy.lib._arraysetops_impl
import time:       909 |        909 |                 numpy.lib._polynomial_impl
import time:       551 |        551 |                 numpy.lib._arrayterator_impl
import time:       586 |        586 |                 numpy.lib._arraypad_impl
import time:       622 |        622 |                 numpy.lib._version
import time:      1776 |      45543 |               numpy.lib
import time:      6025 |      95168 |             numpy
import time:      2304 |       2304 |               typing_extensions
import time:      1957 |       1957 |               torch._utils
import time:       534 |        534 |                   torch._strobelight
import time:        51 |         51 |                       gc
import time:       702 |        753 |                     timeit
import time:      1119 |       1872 |                   torch._strobelight.cli_function_profiler
import time:      1112 |       3517 |                 torch._strobelight.compile_time_profiler
import time:      1040 |       4557 |               torch._utils_internal
import time:       506 |        506 |                     torch._vendor
import time:       792 |       1297 |                   torch._vendor.packaging
import time:       557 |        557 |                   torch._vendor.packaging._structures
import time:      2664 |       4517 |                 torch._vendor.packaging.version
import time:       525 |        525 |                 torch.version
import time:      1124 |       6165 |               torch.torch_version
import time:     46547 |      46547 |               torch._C
import time:       593 |        593 |                 torch._namedtensor_internals
import time:      1789 |       1789 |                 torch.overrides
import time:      2183 |       4565 |               torch._tensor
import time:       954 |        954 |                 torch.types
import time:      1796 |       2749 |               torch.storage
import time:       746 |        746 |                 torch.amp.autocast_mode
import time:       773 |        773 |                 torch.amp.grad_scaler
import time:      1328 |       2847 |               torch.amp
import time:       547 |        547 |               torch.random
import time:        54 |         54 |                     _heapq
import time:       696 |        750 |                   heapq
import time:      1432 |       2182 |                 difflib
import time:       631 |        631 |                   pwd
import time:       528 |        528 |                   grp
import time:      1564 |       2722 |                 tarfile
import time:       816 |        816 |                 torch._weights_only_unpickler
import time:       793 |        793 |                 torch._sources
import time:      2961 |       9471 |               torch.serialization
import time:      1370 |       1370 |                 dataclasses
import time:      1836 |       3205 |               torch._tensor_str
import time:       781 |        781 |                 torch.cuda.gds
import time:       540 |        540 |                 torch.cuda._utils
import time:       886 |        886 |                 torch.cuda.graphs
import time:       725 |        725 |                 torch.cuda.streams
import time:       547 |        547 |                 pynvml
import time:       779 |        779 |                   torch.cuda._memory_viz
import time:      1276 |       2054 |                 torch.cuda.memory
import time:       608 |        608 |                 torch.cuda.random
import time:       821 |        821 |                   torch.cuda.amp.autocast_mode
import time:       855 |        855 |                   torch.cuda.amp.common
import time:       526 |        526 |                   torch.cuda.amp.grad_scaler
import time:      1343 |       3543 |                 torch.cuda.amp
import time:       547 |        547 |                 torch.cuda.jiterator
import time:       503 |        503 |                 torch.cuda.nvtx
import time:       509 |        509 |                 torch.cuda.profiler
import time:       490 |        490 |                 torch.cuda.sparse
import time:       689 |        689 |                     concurrent
import time:       928 |        928 |                     concurrent.futures._base
import time:      1039 |       2656 |                   concurrent.futures
import time:       960 |        960 |                       multiprocessing.process
import time:       712 |        712 |                       multiprocessing.reduction
import time:      1173 |       2845 |                     multiprocessing.context
import time:       789 |       3633 |                   multiprocessing
import time:       827 |       7115 |                 torch.cuda.tunable
import time:      6590 |      25431 |               torch.cuda
import time:       585 |        585 |                   torch.sparse._semi_structured_conversions
import time:       640 |        640 |                   torch.sparse._semi_structured_ops
import time:      1591 |       2815 |                 torch.sparse.semi_structured
import time:      1111 |       3925 |               torch.sparse
import time:       559 |        559 |               torch._compile
import time:       576 |        576 |               torch._VF
import time:       946 |        946 |                     torch.nn.parameter
import time:      1620 |       1620 |                         torch._prims_common
import time:       814 |        814 |                             torch.utils.backcompat
import time:       938 |        938 |                             torch.utils.collect_env
import time:       784 |        784 |                                   _queue
import time:       814 |       1598 |                                 queue
import time:       986 |        986 |                                     cmd
import time:       835 |        835 |                                     bdb
import time:       775 |        775 |                                       codeop
import time:      1039 |       1813 |                                     code
import time:       925 |        925 |                                     pprint
import time:      3153 |       7711 |                                   pdb
import time:       574 |        574 |                                     torch.utils._typing_utils
import time:       665 |        665 |                                       torch.monitor
import time:       506 |        506 |                                         torch.distributed.logging_handlers
import time:       895 |       1400 |                                       torch.distributed.c10d_logger
import time:       490 |        490 |                                       torch.distributed.constants
import time:      1128 |       1128 |                                       torch.distributed.rendezvous
import time:      3136 |       6818 |                                     torch.distributed.distributed_c10d
import time:      3226 |      10617 |                                   torch.distributed.device_mesh
import time:       641 |        641 |                                   torch.distributed.remote_device
import time:      4975 |      23943 |                                 torch.distributed
import time:       680 |        680 |                                                 torch.utils.data.datapipes._hook_iterator
import time:      1491 |       2170 |                                               torch.utils.data.datapipes._typing
import time:       560 |        560 |                                                 torch.utils._import_utils
import time:       557 |        557 |                                                   torch.utils.data.datapipes.utils
import time:      1392 |       1949 |                                                 torch.utils.data.datapipes.utils.common
import time:      1522 |       1522 |                                                 torch.utils.data.dataset
import time:      1887 |       5916 |                                               torch.utils.data.datapipes.datapipe
import time:      1319 |       9404 |                                             torch.utils.data.datapipes._decorator
import time:       584 |        584 |                                               torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       796 |       1379 |                                             torch.utils.data.datapipes.dataframe.structures
import time:      1495 |      12277 |                                           torch.utils.data.datapipes.dataframe.dataframes
import time:       878 |        878 |                                           torch.utils.data.datapipes.dataframe.datapipes
import time:      1245 |      14400 |                                         torch.utils.data.datapipes.dataframe
import time:       848 |        848 |                                                 torch.utils.data._utils.collate
import time:       526 |        526 |                                                 torch.utils.data._utils.fetch
import time:       763 |        763 |                                                 torch.utils.data._utils.pin_memory
import time:       507 |        507 |                                                 torch.utils.data._utils.signal_handling
import time:      2232 |       2232 |                                                 torch.utils.data._utils.worker
import time:       654 |       5528 |                                               torch.utils.data._utils
import time:        21 |       5549 |                                             torch.utils.data._utils.collate
import time:      1210 |       6759 |                                           torch.utils.data.datapipes.iter.callable
import time:       817 |        817 |                                             torch.utils.data.sampler
import time:      1098 |       1915 |                                           torch.utils.data.datapipes.iter.combinatorics
import time:      1525 |       1525 |                                           torch.utils.data.datapipes.iter.combining
import time:       737 |        737 |                                             torch.utils.data.datapipes.iter.utils
import time:      1034 |       1771 |                                           torch.utils.data.datapipes.iter.filelister
import time:       669 |        669 |                                           torch.utils.data.datapipes.iter.fileopener
import time:       780 |        780 |                                             torch.utils.data.datapipes.iter.sharding
import time:       927 |       1707 |                                           torch.utils.data.datapipes.iter.grouping
import time:       727 |        727 |                                             torch.utils.data.datapipes.utils.decoder
import time:      1029 |       1756 |                                           torch.utils.data.datapipes.iter.routeddecoder
import time:       682 |        682 |                                           torch.utils.data.datapipes.iter.selecting
import time:       607 |        607 |                                           torch.utils.data.datapipes.iter.streamreader
import time:      3417 |      20804 |                                         torch.utils.data.datapipes.iter
import time:       749 |        749 |                                           torch.utils.data.datapipes.map.callable
import time:       648 |        648 |                                           torch.utils.data.datapipes.map.combinatorics
import time:       819 |        819 |                                           torch.utils.data.datapipes.map.combining
import time:       627 |        627 |                                           torch.utils.data.datapipes.map.grouping
import time:       741 |        741 |                                           torch.utils.data.datapipes.map.utils
import time:      3327 |       6909 |                                         torch.utils.data.datapipes.map
import time:       834 |      42945 |                                       torch.utils.data.datapipes
import time:        36 |      42981 |                                     torch.utils.data.datapipes.iter
import time:        38 |      43019 |                                   torch.utils.data.datapipes.iter.sharding
import time:       840 |        840 |                                   torch.utils.data.graph
import time:       946 |      44804 |                                 torch.utils.data.graph_settings
import time:      2001 |      72344 |                               torch.utils.data.dataloader
import time:       617 |        617 |                               torch.utils.data.distributed
import time:      1508 |      74469 |                             torch.utils.data
import time:       510 |        510 |                             torch.utils.deterministic
import time:       579 |        579 |                             torch.utils.hooks
import time:       643 |        643 |                             torch.utils.backend_registration
import time:       579 |        579 |                             torch.utils.cpp_backtrace
import time:       599 |        599 |                             torch.utils.throughput_benchmark
import time:      1881 |      81009 |                           torch.utils
import time:       948 |        948 |                           torchgen
import time:       787 |        787 |                               torchgen.code_template
import time:      1164 |       1950 |                             torchgen.utils
import time:     18235 |      20185 |                           torchgen.model
import time:      1953 |     104094 |                         torch.utils._python_dispatch
import time:      3699 |     109412 |                       torch.nn.modules.module
import time:       659 |        659 |                             torch.distributed.rpc
import time:      1386 |       1386 |                                         pickletools
import time:       559 |        559 |                                         torch.package._digraph
import time:       517 |        517 |                                         torch.package._importlib
import time:       490 |        490 |                                         torch.package._mangling
import time:       671 |        671 |                                           torch.package.importer
import time:       846 |       1517 |                                         torch.package._package_pickler
import time:       647 |        647 |                                         torch.package._stdlib
import time:       628 |        628 |                                         torch.package.find_file_dependencies
import time:       590 |        590 |                                         torch.package.glob_group
import time:      4274 |      10606 |                                       torch.package.package_exporter
import time:      1110 |      11715 |                                     torch.package.analyze.find_first_use_of_broken_modules
import time:       558 |        558 |                                     torch.package.analyze.trace_dependencies
import time:      1272 |      13545 |                                   torch.package.analyze
import time:       624 |      14168 |                                 torch.package.analyze.is_from_package
import time:       664 |        664 |                                 torch.package.file_structure_representation
import time:       579 |        579 |                                   torch.package._directory_reader
import time:       545 |        545 |                                   torch.package._package_unpickler
import time:      1618 |       2741 |                                 torch.package.package_importer
import time:      1585 |      19156 |                               torch.package
import time:        27 |      19182 |                             torch.package._mangling
import time:       645 |        645 |                             torch._awaits
import time:       861 |        861 |                             torch.futures
import time:      1572 |      22917 |                           torch._jit_internal
import time:      2086 |       2086 |                           torch._torch_docs
import time:       527 |        527 |                           torch.nn._reduction
import time:       607 |        607 |                             torch.nn.modules.utils
import time:       884 |       1490 |                           torch.nn.grad
import time:     16043 |      43063 |                         torch.nn.functional
import time:       678 |        678 |                         torch.nn.init
import time:       650 |        650 |                         torch.nn.modules.lazy
import time:      1031 |      45420 |                       torch.nn.modules.linear
import time:      1454 |       1454 |                       torch.nn.modules.activation
import time:      1154 |       1154 |                         torch.nn.modules.container
import time:      1141 |       2295 |                       torch.nn.modules.adaptive
import time:       155 |        155 |                                       _csv
import time:       837 |        991 |                                     csv
import time:       737 |        737 |                                     email
import time:       650 |        650 |                                         quopri
import time:      1404 |       1404 |                                             calendar
import time:      1193 |       2597 |                                           email._parseaddr
import time:       589 |        589 |                                             email.base64mime
import time:       646 |        646 |                                             email.quoprimime
import time:       875 |        875 |                                             email.errors
import time:       490 |        490 |                                             email.encoders
import time:       864 |       3462 |                                           email.charset
import time:      1426 |       7484 |                                         email.utils
import time:      1195 |       1195 |                                           email.header
import time:       957 |       2151 |                                         email._policybase
import time:       668 |        668 |                                         email._encoded_words
import time:       488 |        488 |                                         email.iterators
import time:      2056 |      13495 |                                       email.message
import time:       608 |        608 |                                         importlib.metadata._functools
import time:       927 |       1535 |                                       importlib.metadata._text
import time:      1129 |      16158 |                                     importlib.metadata._adapters
import time:       739 |        739 |                                     importlib.metadata._meta
import time:       644 |        644 |                                     importlib.metadata._collections
import time:       518 |        518 |                                     importlib.metadata._itertools
import time:       808 |        808 |                                             importlib.resources.abc
import time:       983 |        983 |                                             importlib.resources._adapters
import time:      1305 |       3095 |                                           importlib.resources._common
import time:       621 |        621 |                                           importlib.resources._legacy
import time:      1094 |       4809 |                                         importlib.resources
import time:        28 |       4836 |                                       importlib.resources.abc
import time:      1885 |       6721 |                                     importlib.abc
import time:      5249 |      31754 |                                   importlib.metadata
import time:     11955 |      43709 |                                 torch.utils._pytree
import time:      1223 |      44932 |                               torch._vmap_internals
import time:       689 |        689 |                                   torch.utils._contextlib
import time:      1064 |       1752 |                                 torch.autograd.grad_mode
import time:      1283 |       3034 |                               torch.autograd.forward_ad
import time:      1441 |       1441 |                               torch.autograd.functional
import time:       606 |        606 |                                 torch.autograd.variable
import time:      1735 |       2340 |                               torch.autograd.graph
import time:       531 |        531 |                               torch.autograd.anomaly_mode
import time:       573 |        573 |                                 torch._functorch
import time:       524 |        524 |                                       torch.utils._exposed_in
import time:       866 |       1390 |                                     torch._functorch.utils
import time:       712 |        712 |                                     torch._functorch.vmap
import time:      1338 |       3438 |                                   torch._functorch.apis
import time:      1152 |       1152 |                                     torch._functorch.pyfunctorch
import time:      1701 |       2853 |                                   torch._ops
import time:      2253 |       8543 |                                 torch._functorch.autograd_function
import time:      1277 |      10391 |                               torch.autograd.function
import time:       651 |        651 |                                   torch.testing._utils
import time:        65 |         65 |                                     cmath
import time:      1349 |       1414 |                                   torch.testing._comparison
import time:       691 |        691 |                                   torch.testing._creation
import time:      1755 |       4509 |                                 torch.testing
import time:      1205 |       5714 |                               torch.autograd.gradcheck
import time:       748 |        748 |                                   _uuid
import time:      1033 |       1780 |                                 uuid
import time:      1134 |       1134 |                                 torch.autograd.profiler_util
import time:      2427 |       5340 |                               torch.autograd.profiler
import time:      3671 |      77390 |                             torch.autograd
import time:        23 |      77413 |                           torch.autograd.function
import time:       851 |      78263 |                         torch.nn.modules._functions
import time:      1132 |      79395 |                       torch.nn.modules.batchnorm
import time:       597 |        597 |                       torch.nn.modules.channelshuffle
import time:      1413 |       1413 |                         torch.nn.common_types
import time:      1705 |       3117 |                       torch.nn.modules.conv
import time:       562 |        562 |                       torch.nn.modules.distance
import time:       612 |        612 |                       torch.nn.modules.dropout
import time:       625 |        625 |                       torch.nn.modules.flatten
import time:       556 |        556 |                       torch.nn.modules.fold
