import time: self [us] | cumulative | imported package
import time:        79 |         79 | winreg
import time:       189 |        189 |   _io
import time:        35 |         35 |   marshal
import time:       152 |        152 |   nt
import time:       274 |        649 | _frozen_importlib_external
import time:       720 |        720 |   time
import time:       106 |        826 | zipimport
import time:        57 |         57 |     _codecs
import time:       242 |        298 |   codecs
import time:       997 |        997 |   encodings.aliases
import time:      1885 |       3180 | encodings
import time:       561 |        561 | encodings.utf_8
import time:        46 |         46 |   _codecs_cn
import time:        52 |         52 |   _multibytecodec
import time:       553 |        651 | encodings.gbk
import time:        38 |         38 | _signal
import time:        31 |         31 |     _abc
import time:        99 |        130 |   abc
import time:       122 |        251 | io
import time:        59 |         59 |       _stat
import time:        57 |        115 |     stat
import time:       588 |        588 |     _collections_abc
import time:        30 |         30 |       genericpath
import time:        73 |         73 |       _winapi
import time:       359 |        461 |     ntpath
import time:       230 |       1394 |   os
import time:        70 |         70 |   _sitebuiltins
import time:      2128 |       2128 |   _distutils_hack
import time:       839 |        839 |     pywin32_system32
import time:      1338 |       2176 |   pywin32_bootstrap
import time:       500 |        500 |   sitecustomize
import time:       493 |        493 |   usercustomize
import time:      2400 |       9158 | site
import time:       542 |        542 |           posix
import time:        69 |        611 |         posixpath
import time:       748 |        748 |             types
import time:        75 |         75 |               _operator
import time:       812 |        887 |             operator
import time:       159 |        159 |                 itertools
import time:       623 |        623 |                 keyword
import time:       681 |        681 |                 reprlib
import time:        71 |         71 |                 _collections
import time:      1206 |       2738 |               collections
import time:        60 |         60 |               _functools
import time:      1363 |       4160 |             functools
import time:      1654 |       7448 |           enum
import time:        69 |         69 |             _sre
import time:       595 |        595 |               re._constants
import time:       855 |       1450 |             re._parser
import time:       471 |        471 |             re._casefix
import time:       771 |       2760 |           re._compiler
import time:       663 |        663 |           copyreg
import time:       986 |      11856 |         re
import time:       707 |      13173 |       fnmatch
import time:       751 |        751 |       warnings
import time:        68 |         68 |       errno
import time:       678 |        678 |         urllib
import time:      1640 |       1640 |         ipaddress
import time:      1347 |       3665 |       urllib.parse
import time:      1136 |      18791 |     pathlib
import time:        82 |         82 |         binascii
import time:       716 |        716 |           importlib
import time:       646 |        646 |           importlib._abc
import time:      1043 |       1043 |           contextlib
import time:       697 |        697 |             _weakrefset
import time:      1081 |       1778 |           threading
import time:       148 |       4328 |         importlib.util
import time:        71 |         71 |           zlib
import time:       721 |        721 |             _compression
